CO,NO2,O3,PM10,PM2.5,SO2,label
0.32,5.0,50.0,54.0,26.0,3.4,1
0.36,11.0,43.0,54.0,25.0,3.2,1
0.42,14.0,39.0,54.0,25.0,3.3,1
0.48,16.0,36.0,54.0,27.0,3.3,1
0.5,16.0,37.0,54.0,27.0,3.5,1
0.49,16.0,38.0,49.0,24.0,3.5,0
0.49,17.0,36.0,53.0,25.0,3.6,1
0.52,17.0,38.0,57.0,27.0,3.7,1
0.53,16.0,40.0,61.0,28.0,3.9,1
0.51,15.0,42.0,65.0,31.0,4.0,1
0.58,20.0,37.0,66.0,32.0,4.0,1
0.6,22.0,35.0,62.0,30.0,4.2,1
0.71,26.0,32.0,61.0,29.0,4.0,1
0.74,26.0,33.0,66.0,32.0,4.0,1
0.75,27.0,33.0,66.0,37.0,4.0,1
0.7,23.0,38.0,73.0,37.0,4.2,1
0.64,19.0,42.0,73.0,35.0,4.5,1
0.6,17.0,45.0,68.0,33.0,4.3,1
0.53,13.0,51.0,67.0,31.0,4.2,1
0.44,8.3,56.0,64.0,34.0,3.8,1
0.31,5.5,58.0,55.0,30.0,3.3,1
0.28,4.4,59.0,50.0,21.0,3.4,1
0.27,3.7,61.0,51.0,20.0,3.4,1
0.29,4.2,60.0,54.0,20.0,3.2,1
0.31,6.4,58.0,51.0,25.0,3.1,1
0.39,17.0,46.0,53.0,24.0,3.2,1
0.83,32.0,31.0,56.0,23.0,3.3,1
1.06,42.0,21.0,57.0,26.0,3.6,1
0.86,42.0,21.0,65.0,29.0,3.9,1
0.57,28.0,35.0,66.0,27.0,3.3,1
0.46,20.0,42.0,62.0,24.0,3.1,1
0.46,17.0,43.0,60.0,24.0,3.0,1
0.5,18.0,41.0,62.0,28.0,3.1,1
0.53,20.0,40.0,65.0,31.0,3.2,1
0.5,17.0,41.0,60.0,30.0,2.6,1
0.56,19.0,39.0,53.0,27.0,2.3,1
0.87,31.0,22.0,53.0,28.0,2.3,1
0.77,29.0,21.0,51.0,28.0,2.3,1
0.66,27.0,21.0,44.0,24.0,2.0,0
0.59,25.0,22.0,37.0,19.0,2.0,0
0.49,21.0,24.0,32.0,15.0,2.0,0
0.4,16.0,28.0,26.0,14.0,1.9,0
0.32,11.0,33.0,20.0,10.0,1.9,0
0.29,7.4,40.0,16.0,8.0,1.9,0
0.26,5.0,44.0,18.0,10.0,1.2,0
0.23,4.1,44.0,21.0,10.0,1.3,0
0.19,3.4,44.0,17.0,9.0,1.2,0
0.2,3.4,45.0,22.0,10.0,1.2,0
0.23,4.9,43.0,27.0,10.0,1.4,0
0.32,12.0,35.0,26.0,10.0,1.4,0
0.58,17.0,30.0,22.0,9.0,1.5,0
0.58,17.0,32.0,18.0,7.0,1.8,0
0.49,17.0,33.0,17.0,7.0,1.7,0
0.51,19.0,33.0,20.0,4.0,1.8,0
0.44,13.0,41.0,24.0,7.0,1.7,0
0.39,10.0,43.0,24.0,10.0,1.5,0
0.38,11.0,44.0,20.0,8.0,1.4,0
0.41,12.0,42.0,21.0,7.0,1.5,0
0.43,14.0,38.0,21.0,9.0,1.5,0
0.48,16.0,35.0,22.0,12.0,1.6,0
0.73,24.0,27.0,32.0,13.0,1.7,0
0.91,33.0,26.0,48.0,21.0,4.9,0
0.99,44.0,19.0,82.0,42.0,5.2,1
0.5,21.0,32.0,93.0,48.0,5.4,1
0.42,16.0,30.0,75.0,36.0,4.0,1
0.4,17.0,22.0,61.0,25.0,3.6,1
0.39,19.0,16.0,44.0,20.0,2.8,0
0.38,17.0,20.0,32.0,20.0,3.0,0
0.36,15.0,20.0,27.0,16.0,5.4,0
0.37,19.0,16.0,27.0,14.0,4.6,0
0.34,16.0,18.0,31.0,16.0,4.2,0
0.37,21.0,10.0,29.0,18.0,5.1,0
0.31,16.0,18.0,29.0,18.0,3.3,0
0.29,11.0,23.0,26.0,15.0,2.4,0
0.47,15.0,20.0,16.0,10.0,2.4,0
0.62,22.0,14.0,12.0,9.0,2.8,0
0.66,27.0,9.8,21.0,12.0,4.3,0
0.52,24.0,13.0,27.0,11.0,3.7,0
0.38,17.0,21.0,21.0,8.0,2.8,0
0.39,15.0,23.0,18.0,6.0,2.9,0
0.37,13.0,28.0,0.0,0.0,2.6,0
0.35,12.0,36.0,29.0,7.0,2.5,0
0.59,31.0,23.0,39.0,12.0,2.3,0
0.85,39.0,20.0,38.0,15.0,1.8,0
0.9,41.0,17.0,34.0,17.0,2.4,0
0.76,31.0,22.0,33.0,13.0,2.0,0
0.61,25.0,24.0,33.0,10.0,2.0,0
0.48,17.0,28.0,32.0,11.0,1.8,0
0.52,19.0,23.0,27.0,15.0,1.8,0
0.43,15.0,26.0,26.0,13.0,1.6,0
0.35,9.7,29.0,24.0,10.0,1.6,0
0.32,8.3,30.0,24.0,9.0,1.4,0
0.31,7.9,29.0,26.0,9.0,1.6,0
0.29,6.9,31.0,26.0,10.0,1.3,0
0.29,7.0,31.0,29.0,13.0,1.5,0
0.32,10.0,27.0,33.0,15.0,1.7,0
0.42,19.0,16.0,34.0,16.0,1.8,0
0.73,24.0,11.0,35.0,20.0,2.0,0
0.8,25.0,9.6,43.0,22.0,2.0,0
0.6,21.0,14.0,48.0,20.0,1.9,0
0.52,20.0,16.0,50.0,20.0,1.7,0
0.51,21.0,17.0,48.0,21.0,1.8,0
0.45,17.0,23.0,39.0,20.0,1.6,0
0.48,20.0,22.0,39.0,18.0,1.8,0
0.57,26.0,17.0,44.0,19.0,2.1,0
0.46,23.0,22.0,48.0,20.0,3.2,0
0.53,26.0,19.0,44.0,15.0,2.2,0
0.64,26.0,19.0,38.0,15.0,1.8,0
0.73,26.0,18.0,33.0,15.0,1.5,0
0.52,18.0,26.0,32.0,14.0,1.5,0
0.56,24.0,21.0,31.0,13.0,1.4,0
0.53,22.0,21.0,28.0,13.0,1.4,0
0.56,22.0,20.0,29.0,13.0,1.5,0
0.4,16.0,26.0,31.0,12.0,1.4,0
0.34,11.0,30.0,32.0,13.0,0.8,0
0.28,8.3,34.0,29.0,13.0,1.7,0
0.24,6.7,36.0,28.0,14.0,1.7,0
0.26,7.2,35.0,29.0,13.0,1.8,0
0.26,8.2,33.0,28.0,11.0,1.8,0
0.37,15.0,23.0,28.0,11.0,2.0,0
0.54,27.0,9.7,28.0,12.0,2.6,0
0.76,26.0,8.5,27.0,14.0,3.8,0
1.2,33.0,10.0,34.0,15.0,3.8,0
0.57,22.0,24.0,40.0,16.0,2.9,0
0.45,18.0,29.0,40.0,0.0,4.0,0
0.44,15.0,34.0,0.0,0.0,3.0,0
0.38,11.0,40.0,40.0,18.0,3.3,0
0.34,12.0,39.0,42.0,20.0,2.8,0
0.38,14.0,37.0,43.0,17.0,2.8,0
0.35,14.0,36.0,44.0,10.0,3.4,0
0.43,19.0,31.0,44.0,15.0,3.2,0
0.56,21.0,30.0,45.0,24.0,2.7,0
0.67,23.0,29.0,54.0,24.0,2.7,1
0.81,31.0,21.0,57.0,29.0,2.4,1
0.68,27.0,24.0,54.0,31.0,2.1,1
0.68,28.0,22.0,48.0,26.0,2.1,0
0.68,27.0,23.0,43.0,24.0,2.4,0
0.53,18.0,35.0,43.0,25.0,2.5,0
0.44,12.0,44.0,43.0,27.0,3.3,0
0.38,11.0,44.0,49.0,28.0,4.5,0
0.4,10.0,43.0,56.0,32.0,4.2,1
0.42,9.4,42.0,62.0,37.0,3.7,1
0.45,8.0,43.0,67.0,40.0,3.1,1
0.45,6.4,44.0,75.0,46.0,4.2,1
0.57,12.0,39.0,95.0,56.0,6.1,1
0.72,15.0,39.0,115.0,66.0,8.1,2
0.72,17.0,42.0,121.0,68.0,9.0,2
0.66,18.0,36.0,112.0,62.0,6.8,2
0.65,20.0,29.0,106.0,57.0,6.2,2
0.65,20.0,30.0,106.0,56.0,5.6,2
0.65,20.0,32.0,109.0,54.0,4.4,2
0.58,16.0,36.0,116.0,59.0,5.5,2
0.57,18.0,35.0,117.0,62.0,4.7,2
0.67,23.0,29.0,117.0,62.0,4.8,2
0.77,27.0,23.0,128.0,67.0,4.8,2
0.84,25.0,24.0,130.0,74.0,4.3,2
0.98,28.0,20.0,125.0,77.0,4.3,2
0.9,23.0,24.0,120.0,77.0,4.1,2
0.82,20.0,27.0,110.0,71.0,3.5,2
0.79,19.0,25.0,101.0,67.0,3.2,2
0.77,22.0,21.0,97.0,62.0,2.8,1
0.61,16.0,27.0,88.0,50.0,2.7,1
0.51,11.0,32.0,77.0,42.0,1.9,1
0.42,8.1,34.0,67.0,37.0,1.6,1
0.4,6.7,36.0,57.0,31.0,1.4,1
0.4,6.2,36.0,50.0,28.0,1.3,0
0.43,7.7,33.0,49.0,29.0,1.5,0
0.45,8.6,32.0,49.0,28.0,1.5,0
0.49,12.0,28.0,48.0,25.0,1.4,0
0.59,16.0,23.0,39.0,22.0,1.6,0
0.58,17.0,24.0,40.0,22.0,1.8,0
0.58,16.0,27.0,51.0,23.0,1.6,1
0.49,13.0,32.0,46.0,25.0,1.8,0
0.43,12.0,35.0,37.0,20.0,1.8,0
0.4,11.0,37.0,34.0,15.0,3.7,0
0.38,10.0,37.0,35.0,13.0,4.1,0
0.33,9.4,37.0,33.0,13.0,1.8,0
0.37,12.0,33.0,33.0,10.0,1.6,0
0.35,12.0,33.0,34.0,11.0,1.6,0
0.43,15.0,30.0,33.0,13.0,1.3,0
0.48,19.0,28.0,33.0,13.0,1.6,0
0.45,18.0,28.0,28.0,15.0,1.6,0
0.45,17.0,29.0,24.0,14.0,1.7,0
0.43,16.0,32.0,27.0,16.0,1.8,0
0.54,22.0,25.0,32.0,20.0,2.3,0
0.49,20.0,27.0,34.0,18.0,3.2,0
0.44,17.0,31.0,39.0,20.0,2.3,0
0.35,12.0,37.0,43.0,24.0,4.0,0
0.29,6.7,43.0,43.0,25.0,4.0,0
0.27,4.3,46.0,40.0,25.0,3.4,0
0.26,4.9,45.0,39.0,22.0,4.0,0
0.28,7.9,43.0,40.0,24.0,3.6,0
0.34,15.0,34.0,43.0,23.0,2.9,0
0.66,24.0,26.0,51.0,27.0,3.5,1
0.72,22.0,35.0,79.0,41.0,5.5,1
0.58,18.0,38.0,106.0,51.0,6.4,2
0.5,16.0,40.0,103.0,46.0,6.1,2
0.48,15.0,43.0,92.0,37.0,4.9,1
0.49,14.0,46.0,90.0,35.0,4.7,1
0.52,16.0,45.0,94.0,40.0,4.4,1
0.54,18.0,43.0,104.0,45.0,4.3,2
